"SubjectID";"age";"sex";"hand"
"S01";19;"m";"r"
"S02";21;"m";"r"
"S03";31;"m";"r"
"S04";26;"m";"r"
"S05";19;"m";"r"
"S06";20;"w";"r"
"S07";21;"d";"r"
"S08";21;"w";"r"
"S09";21;"w";"r"
"s10";23;"m";"r"
"S11";21;"w";"r"
"S12";21;"m";"r"
"S13";22;"m";"r"
"S14";23;"m";"r"
"S15";20;"m";"r"
"S16";19;"w";"r"
"S17";21;"m";"r"
"S18";20;"m";"r"
"S19";20;"m";"r"
"s20";21;"w";"r"
"S21";22;"w";"r"
"S22";19;"m";"r"
"S23";20;"m";"r"
"S24";21;"m";"r"
"S25";25;"d";"r"
"S26";36;"w";"r"
"S27";19;"w";"r"
"S28";24;"m";"r"
"S29";21;"w";"r"
"s30";20;"m";"r"
"S31";20;"m";"r"
"S32";24;"m";"r"
"S33";43;"w";"r"
"S34";21;"m";"r"
"S35";20;"m";"r"
"S36";21;"m";"r"
"S37";22;"w";"r"
"S38";19;"m";"r"
